postcode,sector,average_household
MK18 2RP,MK18 2,8.0
HA3 5JL,HA3 5,12.0
PO1 1RE,PO1 1,9.0
IG1 3AB,IG1 3,17.0
RH10 9SA,RH10 9,
E11 4AS,E11 4,15.0
OX11 8UG,OX11 8,13.0
W1K 3NQ,W1K 3,1.0
W1G 6EH,W1G 6,3.0
NW2 6DS,NW2 6,11.0
ME10 2SL,ME10 2,17.0
N1 2AF,N1 2,14.0
CR4 2BU,CR4 2,17.0
RM6 4PR,RM6 4,14.0
UB8 2BF,UB8 2,12.0
BN21 3UX,BN21 3,9.0
TN39 4JA,TN39 4,14.0
ME19 5JH,ME19 5,9.0
HA8 7PY,HA8 7,6.0
EC1V 9EY,EC1V 9,4.0
DA9 9AT,DA9 9,16.0
DA3 8ND,DA3 8,15.0
KT11 2RL,KT11 2,11.0
NW4 4LH,NW4 4,9.0
RM14 2YY,RM14 2,12.0
RM7 8LA,RM7 8,20.0
SO16 4NR,SO16 4,12.0
RM5 3YR,RM5 3,15.0
SW1P 3JH,SW1P 3,2.0
SW18 5RE,SW18 5,17.0
PO33 1DZ,PO33 1,13.0
SE2 9AS,SE2 9,17.0
N4 3NY,N4 3,16.0
OX14 3BN,OX14 3,9.0
UB10 9DQ,UB10 9,17.0
BR2 8EQ,BR2 8,17.0
SO18 5GA,SO18 5,15.0
N19 4JF,N19 4,16.0
RG30 4AL,RG30 4,16.0
HP22 6DE,HP22 6,12.0
SW7 5PU,SW7 5,11.0
RG42 5PS,RG42 5,5.0
IG4 5LY,IG4 5,12.0
HA1 3TN,HA1 3,11.0
KT3 3LQ,KT3 3,15.0
HA4 0JH,HA4 0,10.0
W1K 2JY,W1K 2,2.0
NW5 3AH,NW5 3,9.0
NW10 5SD,NW10 5,16.0
CR0 7EJ,CR0 7,21.0
EN5 1DU,EN5 1,9.0
UB3 4BP,UB3 4,12.0
EN5 4NZ,EN5 4,8.0
RG2 7QF,RG2 7,15.0
ME2 2DZ,ME2 2,16.0
BN22 9HD,BN22 9,15.0
W3 7AP,W3 7,15.0
RH2 0AN,RH2 0,10.0
CT9 2TJ,CT9 2,15.0
CR0 2SZ,CR0 2,23.0
E5 9PH,E5 9,17.0
RG41 5JY,RG41 5,10.0
RH10 9TU,RH10 9,
CM4 0HZ,CM4 0,7.0
BN20 0HE,BN20 0,7.0
TN21 9HJ,TN21 9,6.0
N20 8QH,N20 8,8.0
WC1A 2BA,WC1A 2,1.0
SS3 0HQ,SS3 0,12.0
OX10 9FW,OX10 9,7.0
SE28 0HJ,SE28 0,16.0
W3 0EL,W3 0,9.0
GU17 0HP,GU17 0,12.0
TN35 5NA,TN35 5,19.0
SL9 0LH,SL9 0,7.0
RH10 1HG,RH10 1,8.0
TN34 2HE,TN34 2,18.0
CT17 0DB,CT17 0,15.0
E5 8JW,E5 8,19.0
PO15 7DU,PO15 7,9.0
UB6 0DX,UB6 0,12.0
UB2 5BQ,UB2 5,15.0
OX13 5BY,OX13 5,7.0
E9 7BN,E9 7,17.0
E7 8PD,E7 8,19.0
N19 3HY,N19 3,16.0
HA0 1LZ,HA0 1,8.0
GU2 8GZ,GU2 8,16.0
IG1 2RE,IG1 2,16.0
HP5 1XF,HP5 1,8.0
SS0 9DR,SS0 9,17.0
HA3 0NU,HA3 0,11.0
NW10 4LT,NW10 4,13.0
RG18 3BY,RG18 3,14.0
CT2 0SF,CT2 0,11.0
BH24 1GX,BH24 1,12.0
E1W 3TX,E1W 3,13.0
W7 1BS,W7 1,16.0
PO22 6AG,PO22 6,12.0
UB6 0UJ,UB6 0,12.0
PO18 0FJ,PO18 0,7.0
TN26 3LU,TN26 3,8.0
GU8 5HL,GU8 5,10.0
TW4 6EQ,TW4 6,9.0
NW10 2LP,NW10 2,11.0
SM5 1TB,SM5 1,22.0
W1B 5PT,W1B 5,
RH1 2HY,RH1 2,13.0
RG12 2JT,RG12 2,7.0
UB4 8NF,UB4 8,15.0
IG8 8QW,IG8 8,12.0
NW3 2NX,NW3 2,16.0
SE20 8RH,SE20 8,15.0
N8 9JY,N8 9,14.0
RH10 1TL,RH10 1,8.0
TW16 7PL,TW16 7,12.0
RH16 3RW,RH16 3,12.0
BN9 0SB,BN9 0,8.0
ME17 3NW,ME17 3,7.0
CT19 6PJ,CT19 6,18.0
KT19 9EF,KT19 9,17.0
RM13 9XT,RM13 9,14.0
SL6 8QX,SL6 8,8.0
HA2 8LH,HA2 8,14.0
TN14 7TX,TN14 7,7.0
RH20 1EE,RH20 1,9.0
OX10 6DA,OX10 6,9.0
HP7 9EU,HP7 9,10.0
SW11 1EG,SW11 1,13.0
ME9 8JL,ME9 8,7.0
CT3 2AW,CT3 2,9.0
BN1 1NB,BN1 1,3.0
E8 2NB,E8 2,17.0
RG1 8FP,RG1 8,5.0
NW4 3FQ,NW4 3,10.0
PO11 0DB,PO11 0,13.0
CT11 7RQ,CT11 7,15.0
E2 8GR,E2 8,11.0
DA11 9LE,DA11 9,15.0
SE17 1JQ,SE17 1,9.0
RG12 9EJ,RG12 9,13.0
W1T 4HY,W1T 4,1.0
SO50 5FY,SO50 5,14.0
N7 0JX,N7 0,20.0
RG2 7DN,RG2 7,15.0
CT9 5RT,CT9 5,16.0
SS12 9NZ,SS12 9,16.0
NW3 2NE,NW3 2,16.0
UB5 6UA,UB5 6,16.0
CR0 7AS,CR0 7,21.0
RG7 6LT,RG7 6,6.0
SE28 0FJ,SE28 0,16.0
TW3 4AE,TW3 4,12.0
MK18 1HS,MK18 1,10.0
SO15 8RN,SO15 8,14.0
PO7 7QT,PO7 7,10.0
SW18 5JJ,SW18 5,17.0
PO16 9NB,PO16 9,13.0
BR3 4AS,BR3 4,16.0
BN45 7EE,BN45 7,5.0
DA8 3LG,DA8 3,17.0
ME19 4JJ,ME19 4,8.0
