postcode,easting,northing,river_level,tide_level,rainfall_level
SE18 6TU,543627,178226,0.196427083,1.289,0.0125
W1G 8QX,528630,181646,0.795927083,1.453,0.0
RH1 4JX,530569,149878,0.53496875,1.453,0.004166667
SM4 4AP,523611,166488,0.559625,1.453,0.008333333
N20 0SB,527835,193147,2.525052083,1.453,0.0
RG4 9TG,470475,180829,6.67753125,1.189,0.004166667
GU2 9SB,498028,151497,1.285479167,1.189,0.0
PO18 0LN,493502,108366,0.055479167,1.189,0.0
W1T 2LD,529503,181718,0.795927083,1.453,0.0
RH4 2FQ,516895,149618,0.1686875,1.453,0.0
GU6 8HZ,503566,136056,1.382364583,1.189,0.004166667
DA1 5PJ,554788,175608,0.117114583,1.289,0.0
CT4 7TJ,611225,154185,0.246020833,1.36,0.016666667
UB8 1UE,505322,184164,0.652208333,1.453,0.0
RG6 4UU,475424,170304,0.205104167,1.189,0.0
TN6 2RQ,551999,131271,0.246114583,1.453,0.008333333
BN23 5UP,563831,101698,0.076489583,1.453,0.0
SW13 0WZ,520531,175904,0.2274375,1.453,0.0
PO12 4HW,460674,101609,0.532385417,1.189,0.0
RG7 1SU,471740,164199,0.17171875,1.189,0.0
RG7 1SU,471740,164199,0.193427083,1.189,0.0
N1 7PH,532662,183206,5.802614583,1.453,0.0
CT12 6SX,637540,166038,0.163479167,1.36,0.0
SE9 6ES,542287,174773,0.196427083,1.453,0.0
ME16 0NQ,573831,156115,1.300760417,1.289,0.004166667
SL9 8RA,499562,188860,0.0918125,1.189,0.0
RM18 7BD,563812,176541,0.117114583,1.289,0.0
TN31 6FB,583074,125595,0.203041667,1.289,0.008333333
BN21 3SH,561540,99442,0.1488125,1.453,0.0
BN21 3SH,561540,99442,0.1488125,1.453,0.008333333
NW3 3NU,526922,184230,0.795927083,1.453,0.0
TN2 5HE,559774,138159,0.26453125,1.453,0.008333333
RM3 7NA,554353,193823,1.005916667,1.289,0.0
TN8 7DN,550311,141289,0.29346875,1.453,0.0125
SE15 6AG,533526,177604,0.087645833,1.453,0.008333333
E9 6DX,535310,185044,5.802614583,1.453,0.0
NW7 4BA,522092,192558,0.1208125,1.453,0.0
SO51 0NQ,434376,126315,0.54878125,1.189,0.004166667
DA9 9JL,559154,174153,0.117114583,1.289,0.0
IG2 7EN,545052,187984,2.946239583,1.289,0.0125
SL3 0RG,502924,177095,1.596697917,1.189,0.0
SL5 7LS,492066,170600,0.553958333,1.189,0.0
SW12 8QY,528482,173497,0.883375,1.453,0.029166667
EC1N 7AB,531221,181781,5.802614583,1.453,0.0
CT9 1TW,635757,170243,0.22603125,1.36,0.0
SW19 8RR,525039,170580,1.088635417,1.453,0.0
TW7 5EY,516031,176775,2.055427083,1.453,0.0
KT11 3DQ,510765,160034,1.17375,1.453,0.0
PO9 5EY,472149,108076,0.049885417,1.189,0.0
GU9 9TF,485820,149367,0.69434375,1.189,0.0
MK18 5AN,468794,239391,0.151541667,1.189,0.0
E10 6AB,537988,186945,0.171541667,1.289,0.0
W1K 7FP,528023,180863,0.795927083,1.453,0.0
WC2H 9PL,530106,181231,0.795927083,1.453,0.0
TW20 8NR,501913,170913,0.183572917,1.189,0.0
CT10 2SB,637765,168464,0.163479167,1.36,0.0
SM6 8SQ,529002,164143,-0.014052083,1.453,0.016666667
N3 1SR,524306,190284,0.083416667,1.453,0.0
SE26 4JF,536033,171556,0.090395833,1.453,0.008333333
